asset,monthly_mean_simple_return,monthly_volatility,annualized_arithmetic_mean,annualized_volatility
renta_fija_nacional,0.00013,0.004396088079190407,0.0015599999999999998,0.015228495815411318
acciones_nacionales,0.00153,0.004807009943821627,0.018359999999999998,0.016651970910375742
fondos_mutuos_nacionales,6e-05,0.00019259600281418097,0.00072,0.0006671721244176798
renta_variable_extranjera,0.00282,0.013521713426929295,0.03384,0.046840589321655635
deuda_extranjera,0.00033,0.006433700117350824,0.00396,0.02228699096782695
