scenario,scenario_label,paths,mean_final_balance_uf,std_final_balance_uf,p10_final_balance_uf,median_final_balance_uf,p90_final_balance_uf,median_total_contributions_uf,median_contribution_density,median_gap_vs_baseline_uf,median_gap_vs_baseline_pct,share_below_baseline_median,median_paired_gap_vs_baseline_uf,median_paired_gap_vs_baseline_pct,share_below_same_draw_baseline
estable,Trayectoria estable,2000,6680.74994135116,975.0249096116174,6372.281983658728,6949.165284991417,7157.992872214318,2240.524590421936,0.95,0.0,0.0,0.5,0.0,0.0,0.0
intermitente,Trayectoria intermitente,2000,5514.785435151834,1103.37170187329,4455.458836655561,5788.960070933143,6422.145447714863,1846.6906456514648,0.7833333333333333,-1160.2052140582746,-0.16695605392550505,0.9985,-1027.1658191179458,-0.1525062597586035,0.985
adversa,Trayectoria adversa,2000,3666.5817762429824,1100.8541518958264,2187.0947589894513,3846.533988349611,4888.2108284903225,1187.756040669527,0.50625,-3102.6312966418063,-0.4464753922809649,1.0,-2950.033326190672,-0.43265958664092063,0.997
